key,label,bibcode,year,status,getter,notes
lamassa15,LaMassa 2015,2015ApJ...800..144L,2015,confirmed,ned_first_row,First changing-look quasar SDSS J015957.64+003310.5.
macleod16,MacLeod 2016,2016MNRAS.457..389M,2016,confirmed,static_table,SDSS repeat-spectroscopy changing-look quasars.
ruan16,Ruan 2016,2016ApJ...826..188R,2016,confirmed,ned_refcode,Three changing-look quasars.
yang18,Yang 2018,2018ApJ...862..109Y,2018,confirmed,ned_refcode,New CLAGN plus literature objects in NED reference list.
macleod19,MacLeod 2019,2019ApJ...874....8M,2019,confirmed,vizier_filtered,CLQ/Nsigma-filtered VizieR table.
sheng20,Sheng 2020,2020ApJ...889...46S,2020,confirmed,ned_selected_rows,Three changing-look quasars selected from NED reference result.
lyu22,Lyu 2022,2022ApJ...927..227L,2022,confirmed,arxiv_source_table,Known CLAGN sample assembled for IR echoes.
green22,Green 2022,2022ApJ...933..180G,2022,confirmed,vizier_filtered,SDSS-V pilot/CLAGN sample.
lopeznavas22,Lopez-Navas 2022,2022MNRAS.513L..57L,2022,confirmed,static_table,Confirmed new CLAGN from ZTF/ALeRCE candidate list.
hon22,Hon 2022,2022MNRAS.511...54H,2022,confirmed,static_table,SkyMapper colours II CLAGN; names encode coordinates.
wang22,Wang 2022,2022RAA....22k5014W,2022,confirmed,manual_pending,Add source-table parser.
temple23_bass,Temple 2023,2022MNRAS.518.2938T,2023,confirmed,manual_pending,BASS XXXIX Swift-BAT changing-look spectra.
yang23_desi_edr,Yang 2023,2023arXiv230708289Y,2023,confirmed,manual_pending,DESI early-data CLAGN sample.
zeltyn24,Zeltyn 2024,2024ApJ...966...85Z,2024,confirmed,manual_pending,First-year SDSS-V CLAGN sample.
yang24_desi_dr1,Yang 2024,2024arXiv240800402Y,2024,confirmed,manual_pending,DESI DR1/SDSS DR16 CLAGN catalog.
wolf24_6df_atlas,Wolf 2024,2024MNRAS.535.2322W,2024,confirmed,manual_pending,6dF/ATLAS z<0.1 CLAGN search.
li25_turnon,Li 2025,2025ApJ...980...91L,2025,confirmed,manual_pending,Large turn-on CLAGN sample from SDSS galaxies.
